,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,27.97,23.257,25.222,25.635,25.447,24.843,24.843,25.166,25.5,24.849,24.905,24.993,25.028,24.898,24.739,25.036,24.892,25.287,25.099,25.105,25.13,24.948,24.864,25.072,25.008,25.267,25.083,25.245,24.976,24.976,25.039,24.967,25.084,25.158,25.088,25.21,24.972
1,-58.717,-56.484,-57.433,-57.418,-57.289,-56.748,-56.748,-57.06,-57.42,-56.692,-56.828,-56.917,-56.926,-56.823,-56.673,-56.923,-56.823,-57.176,-57.011,-57.007,-57.032,-56.858,-56.79,-56.974,-56.922,-57.164,-56.988,-57.145,-56.888,-56.885,-56.957,-56.886,-56.99,-57.065,-56.991,-57.114,-56.885
2,-2.0662,-1.9657,-2.0659,-2.0268,-1.9819,-1.9593,-1.9593,-1.9518,-1.9698,-1.9769,-1.9611,-1.9943,-1.9612,-1.9598,-1.9395,-1.9905,-1.9646,-1.9907,-1.9817,-1.9836,-1.9879,-1.9733,-1.9641,-1.9832,-1.9654,-1.9839,-1.9787,-1.9801,-1.9708,-1.9728,-1.965,-1.9648,-1.9796,-1.9767,-1.9766,-1.9799,-1.97
3,-0.01241,-0.011577,-0.012422,-0.012188,-0.011587,-0.011683,-0.011683,-0.011696,-0.01171,-0.011824,-0.011723,-0.011905,-0.011754,-0.011772,-0.011483,-0.011829,-0.011661,-0.011932,-0.011861,-0.011852,-0.011885,-0.011877,-0.011721,-0.011835,-0.011757,-0.011824,-0.011857,-0.01179,-0.01174,-0.011762,-0.011707,-0.011715,-0.011808,-0.01178,-0.011799,-0.011831,-0.011751
4,-0.00011119,-0.0001032,-0.00011096,-0.00010865,-0.00010449,-0.00010291,-0.00010291,-0.00010561,-0.00010348,-0.00010563,-0.00010516,-0.00010609,-0.00010539,-0.00010501,-0.00010234,-0.00010586,-0.00010451,-0.00010645,-0.00010641,-0.00010592,-0.0001065,-0.00010673,-0.00010513,-0.00010603,-0.00010555,-0.0001059,-0.00010601,-0.0001053,-0.00010498,-0.0001055,-0.00010486,-0.00010485,-0.00010571,-0.00010535,-0.00010567,-0.00010586,-0.00010521
5,0.11473,0.12045,0.11437,0.11582,0.11464,0.11796,0.11796,0.11702,0.11813,0.1151,0.11672,0.11525,0.11677,0.11646,0.11687,0.11687,0.1171,0.11703,0.11691,0.11695,0.11638,0.11687,0.11683,0.11687,0.11662,0.11653,0.1167,0.11674,0.11674,0.11683,0.11658,0.11675,0.11686,0.11674,0.11689,0.11687,0.11673
6,0.086407,0.086578,0.084476,0.085627,0.084564,0.086045,0.086045,0.085764,0.086719,0.084828,0.085375,0.08491,0.085517,0.085584,0.085725,0.08584,0.085988,0.085935,0.085786,0.08591,0.085531,0.085772,0.085767,0.085748,0.08561,0.085603,0.085669,0.085678,0.085739,0.085702,0.085671,0.085705,0.085813,0.085727,0.085794,0.085817,0.085718
7,-5.9565e-05,-3.4217e-05,-6.4433e-05,-5.7614e-05,-5.8242e-05,-4.0604e-05,-4.0604e-05,-4.8444e-05,-5.1231e-05,-5.5967e-05,-4.7846e-05,-5.5205e-05,-5.1673e-05,-5.4843e-05,-5.2e-05,-5.3719e-05,-5.3759e-05,-5.2874e-05,-5.2213e-05,-5.3434e-05,-5.3529e-05,-5.2839e-05,-5.2832e-05,-5.1992e-05,-5.317e-05,-5.3319e-05,-5.331e-05,-5.3233e-05,-5.3542e-05,-5.2388e-05,-5.413e-05,-5.2999e-05,-5.3447e-05,-5.357e-05,-5.2897e-05,-5.3301e-05,-5.3416e-05
8,2.4504e-06,-2.1315e-07,1.4633e-07,-1.1734e-07,-4.9253e-07,-7.4634e-07,-7.4634e-07,-1.1106e-06,3.2561e-07,-3.2943e-07,-7.5275e-07,-1.0963e-06,-5.9278e-07,-5.1775e-07,-5.5197e-07,-4.299e-07,-5.0188e-07,-3.8213e-07,-8.0985e-07,-3.7861e-07,-5.008e-07,-5.6255e-07,-6.7434e-07,-6.8083e-07,-6.0231e-07,-5.7259e-07,-5.636e-07,-4.856e-07,-5.0621e-07,-5.1978e-07,-5.6274e-07,-6.0419e-07,-4.7098e-07,-5.2325e-07,-4.5556e-07,-4.9355e-07,-5.212e-07
9,3.1051e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
