,0,1,2,3,4,5,6,7,8,9
0,107.04,103.1,103.08,102.88,103.34,103.79,103.58,103.46,103.44,103.31
1,-107.86,-104.48,-104.44,-104.28,-104.66,-105.05,-104.86,-104.77,-104.74,-104.64
2,-8.3074,-7.7555,-7.7806,-7.7316,-7.8161,-7.8714,-7.8454,-7.8231,-7.8355,-7.803
3,-0.037494,-0.033374,-0.033403,-0.033059,-0.034008,-0.034417,-0.034118,-0.03391,-0.034082,-0.033759
4,-3.0696e-06,-2.7156e-06,-2.7189e-06,-2.7e-06,-2.8172e-06,-2.8571e-06,-2.8164e-06,-2.7995e-06,-2.8255e-06,-2.7838e-06
5,1.014,1.0321,1.0375,1.0393,1.037,1.0382,1.0385,1.0391,1.0387,1.0388
6,0.6802,0.67143,0.66404,0.66358,0.66468,0.66382,0.66301,0.66262,0.66294,0.66297
7,0.020188,0.021068,0.022709,0.022935,0.022883,0.022636,0.022632,0.022778,0.022795,0.022725
8,0.0043689,0.003913,0.0032218,0.0031075,0.0031185,0.0031852,0.0032054,0.0031281,0.0031392,0.0031539
9,8.6702e-06,9.8884e-06,-7.7752e-07,-4.7324e-07,1.13e-06,3.8198e-06,2.0412e-06,2.6316e-06,1.6607e-06,2.8993e-06
