,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,16.316,19.051,20.456,20.084,19.678,18.998,18.272,19.156,19.289,18.799,19.548,19.183,19.666,19.2,19.333,18.785,19.658,19.073,19.369,19.308
1,-48.854,-50.414,-51.378,-51.147,-50.813,-50.273,-49.527,-50.434,-50.467,-50.04,-50.701,-50.423,-50.844,-50.422,-50.528,-50.029,-50.807,-50.36,-50.575,-50.529
2,-4.3259,-4.0601,-4.4196,-4.3272,-4.3131,-4.1731,-4.2017,-4.1738,-4.2704,-4.2167,-4.3051,-4.2233,-4.2798,-4.2389,-4.2639,-4.2147,-4.3092,-4.173,-4.2534,-4.2391
3,-0.025641,-0.024254,-0.028741,-0.025768,-0.025454,-0.024181,-0.02475,-0.024391,-0.024658,-0.024611,-0.02532,-0.024725,-0.025204,-0.024472,-0.02494,-0.024602,-0.025124,-0.024067,-0.024654,-0.024813
4,-6.4508e-06,-5.2806e-06,-6.2047e-06,-5.5453e-06,-5.5987e-06,-5.1166e-06,-5.5238e-06,-5.5434e-06,-5.3504e-06,-5.4367e-06,-5.6071e-06,-5.5903e-06,-5.5042e-06,-5.3931e-06,-5.4863e-06,-5.4293e-06,-5.5397e-06,-5.3084e-06,-5.441e-06,-5.5009e-06
5,3.9015,3.9588,3.9128,3.9135,3.9869,3.9435,3.959,3.9618,3.9462,3.9621,3.9591,3.9675,3.9597,3.9624,3.9615,3.9604,3.9615,3.9617,3.9617,3.9614
6,0.34756,0.47581,0.46821,0.473,0.46441,0.48504,0.48291,0.4746,0.48174,0.48064,0.48333,0.48044,0.48203,0.48087,0.48035,0.48015,0.48043,0.48025,0.48027,0.48046
7,0.017043,0.026949,0.025188,0.023479,0.025225,0.025131,0.020956,0.023533,0.02321,0.021619,0.025008,0.02323,0.023018,0.02154,0.022561,0.023143,0.023314,0.022752,0.0232,0.022793
8,0.0085438,0.0085755,0.0062006,0.0091351,0.0081781,0.0075102,0.011185,0.008377,0.0090397,0.010099,0.0070482,0.0086707,0.0088949,0.010616,0.0092968,0.0087471,0.0085558,0.0091978,0.0086423,0.0091042
9,0.00025728,-0.00012114,2.3768e-05,0.000239,-3.4843e-05,5.4957e-05,0.00016598,0.00022793,0.00017454,0.00025223,0.00022493,0.00026408,0.00030759,0.00021307,0.00028026,0.00024082,0.00028983,0.00025695,0.00025496,0.00028043
10,-0.00042404,2.361e-05,6.7803e-05,0.00020212,9.9662e-07,3.3348e-05,4.9385e-05,4.4709e-05,1.3455e-05,2.084e-05,1.5045e-05,8.116e-06,1.0423e-05,2.0109e-05,2.7227e-06,2.9033e-05,3.7133e-06,3.0614e-06,5.5139e-06,4.0099e-06
11,0.0014525,4.2951e-05,1.5664e-05,4.5347e-06,,1.3663e-05,2.5254e-05,1.737e-05,-8.1581e-09,2.3774e-05,8.6828e-06,,1.9172e-05,4.362e-06,,7.3751e-06,,,,
12,-9.1998e-06,1.6268e-05,-7.539e-07,,,-1.0921e-06,-5.2399e-07,5.5431e-07,,1.1404e-06,,,-6.963e-07,,,,,,,
13,,9.4005e-07,,,,,,,,,,,,,,,,,,
