,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,131.92,134.89,132.82,128.71,128.97,130.33,131.01,129.48,130.7,129.96,130.2,130.22,129.71,130.49,131.2,130.49,130.57,130.35,130.13,130.29
1,-177.76,-182.04,-180.37,-177.02,-177.69,-178.55,-178.73,-177.57,-178.76,-177.98,-178.4,-178.23,-177.66,-178.53,-179.15,-178.46,-178.6,-178.39,-178.24,-178.34
2,-23.765,-24.346,-23.764,-23.079,-22.811,-23.196,-23.594,-23.29,-23.346,-23.378,-23.193,-23.368,-23.431,-23.354,-23.434,-23.419,-23.361,-23.344,-23.285,-23.336
3,-0.86015,-0.86539,-0.82698,-0.82579,-0.78247,-0.79937,-0.8596,-0.82983,-0.8208,-0.83281,-0.83272,-0.8357,-0.84173,-0.8326,-0.83404,-0.83597,-0.83081,-0.83542,-0.82586,-0.83078
4,-0.0061399,-0.0063466,-0.0061165,-0.0060041,-0.0057906,-0.0060205,-0.0063191,-0.0061588,-0.0061243,-0.0061823,-0.0062137,-0.0062036,-0.0062179,-0.0061767,-0.0062049,-0.0062301,-0.0061598,-0.0061919,-0.0061397,-0.0061896
5,9.2444,9.3056,9.1827,9.0554,9.2264,9.0725,9.1149,9.0997,9.1361,9.1256,9.1296,9.1474,9.1364,9.1321,9.1317,9.1345,9.1329,9.1285,9.1308,9.1295
6,0.79557,0.42324,0.39194,0.41661,0.47059,0.39588,0.37412,0.40642,0.43258,0.42171,0.42764,0.41985,0.42076,0.42096,0.41823,0.42281,0.41966,0.41466,0.41934,0.42072
7,0.098889,0.067231,0.070861,0.072702,0.067533,0.072202,0.074896,0.074016,0.067254,0.071605,0.070283,0.067546,0.069402,0.069701,0.071337,0.068832,0.070665,0.070371,0.07105,0.070073
8,0.0021637,0.006023,0.0024362,0.00021344,0.0047943,0.00027721,-0.00051971,1.04e-05,0.004078,0.0015806,0.0023295,0.0035146,0.0022674,0.0019432,0.0011321,0.0025545,0.0014477,0.0014548,0.0012386,0.0016847
9,0.0070109,0.0027806,0.0019047,0.0012549,0.0013082,1.7038e-05,4.1792e-05,0.00040328,0.0003048,-9.7948e-05,-7.8091e-05,8.8933e-05,8.835e-05,0.000168,2.8831e-05,0.00064692,0.00022785,0.00073955,0.00046871,0.00014808
10,0.00024493,-0.00063488,-0.00019813,-0.00031173,0.0001148,0.0001114,1.9437e-05,-0.00010429,0.00074136,0.00037564,0.00037745,0.00094988,0.000583,0.00075688,0.00054602,0.00038662,0.00058404,4.9097e-05,0.00035185,0.00078828
11,-0.00019792,0.000578,0.00022491,0.00025449,0.00054052,0.00010603,0.00012488,0.00032323,7.4551e-05,1.9647e-05,4.9122e-05,2.8126e-05,0.00011146,5.1147e-05,5.1839e-05,1.8747e-05,2.9927e-05,3.9838e-05,1.8618e-05,3.5417e-05
12,4.3716e-05,2.2682e-05,3.7368e-05,2.5187e-05,0.00011836,5.1692e-05,3.9505e-05,3.8555e-05,6.8505e-05,5.177e-05,6.324e-05,4.3754e-05,3.8796e-05,4.8731e-05,3.8855e-05,4.6812e-05,4.5187e-05,9.4618e-06,4.0242e-05,4.5067e-05
13,0.00011964,8.191e-06,1.9433e-06,4.6757e-06,3.5032e-06,1.6633e-06,1.8506e-06,2.5202e-06,1.7482e-06,-5.3336e-08,2.0629e-06,5.7624e-07,5.0491e-06,4.7218e-07,3.0161e-07,4.5013e-08,7.3923e-07,,-3.3352e-07,-2.6369e-09
14,1.3451e-05,,,,,,,,,,,,,,,,,,,
15,-8.7652e-07,,,,,,,,,,,,,,,,,,,
