,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,961.03,961.03,937.22,925.64,935.52,930.15,933.83,929.83,930.02,926.97,928.67,932.08,930.19,929.67,929.21,931.14,928.4,930.33,930.21,929.91
1,-980.96,-980.96,-961.01,-948.64,-957.65,-952.56,-955.88,-951.94,-952.11,-949.69,-951.36,-954.42,-952.46,-951.95,-951.82,-953.58,-950.89,-952.69,-952.58,-952.33
2,-39.553,-39.553,-35.606,-35.897,-36.88,-36.445,-36.928,-36.763,-36.823,-36.023,-36.243,-36.592,-36.651,-36.662,-36.338,-36.501,-36.444,-36.578,-36.568,-36.508
3,-0.86797,-0.86797,-0.76074,-0.79029,-0.79275,-0.79342,-0.8004,-0.79688,-0.79791,-0.78311,-0.78232,-0.78942,-0.79131,-0.79042,-0.77965,-0.78937,-0.78642,-0.7887,-0.79118,-0.78904
4,-0.01245,-0.01245,-0.0061887,-0.0097121,-0.0072462,-0.0073774,-0.0096619,-0.0088261,-0.0093719,-0.0075787,-0.0086113,-0.0086976,-0.0078925,-0.0085158,-0.00814,-0.0079265,-0.0074383,-0.0084669,-0.0085429,-0.0090399
5,2.468,2.468,2.9316,2.6445,2.7836,2.6401,2.6714,2.6361,2.6755,2.6285,2.6903,2.6786,2.6768,2.7009,2.6823,2.6869,2.6863,2.6764,2.6828,2.6767
6,0.049596,0.049596,0.0643,0.050146,0.051807,0.050003,0.049762,0.047598,0.050666,0.048044,0.049817,0.049872,0.049337,0.049999,0.049853,0.049319,0.049753,0.049609,0.050557,0.05002
7,0.024692,0.024692,0.029348,0.026478,0.027697,0.026572,0.026429,0.026362,0.026738,0.026461,0.02686,0.026768,0.026676,0.026875,0.026741,0.026753,0.026681,0.026661,0.026796,0.026734
8,8.417e-05,8.417e-05,-0.00091289,-0.00061592,-0.00064799,-0.00061414,-0.00045169,-0.00050118,-0.00025869,-0.0002693,-0.00035744,-0.00031819,-0.00047513,-0.00026642,-0.00026933,-0.00027636,-0.00028245,-0.00033854,-0.00030343,-0.00031444
9,-9.9793e-05,-9.9793e-05,0.00069998,0.00042452,0.00035981,0.00034803,0.00019778,0.00025465,2.49e-06,4.2787e-05,0.00010203,5.8918e-05,0.00021298,9.2467e-06,1.3515e-05,1.3875e-05,2.3126e-05,7.8737e-05,4.7957e-05,5.527e-05
10,0.00012933,0.00012933,3.4841e-05,-5.5484e-06,3.2696e-05,2.5212e-05,8.8141e-06,-2.7459e-06,9.1284e-06,1.1155e-05,1.0445e-05,6.0129e-06,5.9852e-06,-2.5257e-06,5.213e-06,5.3049e-06,7.7941e-06,6.1816e-06,5.0537e-06,6.5467e-06
11,1.0759e-05,1.0759e-05,-1.173e-05,6.5936e-06,1.2537e-05,2.8161e-05,,,,3.1929e-05,2.0998e-05,,,2.9501e-05,,2.7657e-05,,,,
12,1.7046e-05,1.7046e-05,8.1317e-06,,-8.4353e-06,-1.8541e-06,,,,2.372e-06,-4.9734e-07,,,-5.8659e-07,,-6.7258e-07,,,,
13,9.4402e-07,9.4402e-07,,,,,,,,,,,,,,,,,,
